日期序号,微博条数,积极条数,消极条数,积极转发,积极评论,积极赞,消极转发,消极评论,消极赞,总转发,总评论,总赞,平均积极转发,平均积极评论,平均积极赞,平均消极转发,平均消极评论,平均消极赞
2019/3/25,30,21,9,4499,5478,12695,6681,12286,7976,11180 ,17764 ,20671 ,214 ,261 ,605 ,742 ,1365 ,886 
2019/3/26,30,29,1,63913,42845,165794,48,147,240,63961 ,42992 ,166034 ,2204 ,1477 ,5717 ,48 ,147 ,240 
2019/3/27,30,23,7,23349,37815,38933,2687,4796,9809,26036 ,42611 ,48742 ,1015 ,1644 ,1693 ,384 ,685 ,1401 
2019/3/28,29,20,9,5172,8249,10802,1083,2889,8770,6255 ,11138 ,19572 ,259 ,412 ,540 ,120 ,321 ,974 
2019/3/29,30,17,13,12382,3220,8070,2400,3852,5984,14782 ,7072 ,14054 ,728 ,189 ,475 ,185 ,296 ,460 
2019/3/30,30,16,14,6801,6156,6600,1832,4839,6323,8633 ,10995 ,12923 ,425 ,385 ,413 ,131 ,346 ,452 
2019/3/31,30,15,15,1584,2381,6048,1265,2538,3978,2849 ,4919 ,10026 ,106 ,159 ,403 ,84 ,169 ,265 
2019/4/1,30,19,11,981,2561,12277,705,1878,5123,1686 ,4439 ,17400 ,52 ,135 ,646 ,64 ,171 ,466 
2019/4/2,30,23,7,162517,10612,20323,530,1015,3305,163047 ,11627 ,23628 ,7066 ,461 ,884 ,76 ,145 ,472 
2019/4/3,30,23,7,14222,11202,14769,321,791,1616,14543 ,11993 ,16385 ,618 ,487 ,642 ,46 ,113 ,231 
2019/4/4,30,20,10,6496,10040,12780,948,2510,4698,7444 ,12550 ,17478 ,325 ,502 ,639 ,95 ,251 ,470 
2019/4/5,30,20,10,3022,3404,9318,783,1670,2304,3805 ,5074 ,11622 ,151 ,170 ,466 ,78 ,167 ,230 
2019/4/6,30,16,14,2049,3674,6596,1589,3938,9465,3638 ,7612 ,16061 ,128 ,230 ,412 ,114 ,281 ,676 
2019/4/7,27,12,15,21774,8982,14478,1126,2637,4681,22900 ,11619 ,19159 ,1815 ,749 ,1207 ,75 ,176 ,312 
2019/4/8,28,19,9,1625,4082,10262,352,1698,2293,1977 ,5780 ,12555 ,86 ,215 ,540 ,39 ,189 ,255 
2019/4/9,30,20,10,22544,10986,16809,1210,6959,12591,23754 ,17945 ,29400 ,1127 ,549 ,840 ,121 ,696 ,1259 
2019/4/10,28,20,8,3429,5441,10399,5072,1983,3810,8501 ,7424 ,14209 ,171 ,272 ,520 ,634 ,248 ,476 
