用户ID,微博数,转发数,评论数,点赞数,积极数,消极数,平均转发,平均评论,平均点赞,积极转发数,积极评论数,积极点赞数,消极转发数,消极评论数,消极点赞数
Ark咔嚓一下,7,4537,1698,10742,4,2,648.14 ,242.57 ,1534.57 ,134,731,2660,4398,830,7694
涨涨麻麻,7,376,659,4074,6,0,53.71 ,94.14 ,582.00 ,345,581,3705,0,0,0
大米评测,7,2820,3294,15698,5,2,402.86 ,470.57 ,2242.57 ,2734,2269,11144,86,1025,4554
万能的大熊,7,898,3352,13837,5,2,128.29 ,478.86 ,1976.71 ,850,1851,7796,48,1501,6041
新浪5G,7,5475,13857,288662,7,0,782.14 ,1979.57 ,41237.43 ,5475,13857,288662,0,0,0
洱海弥,7,720,962,15353,3,4,102.86 ,137.43 ,2193.29 ,359,294,3413,361,668,11940
明晞十八,7,590,4748,26989,1,5,84.29 ,678.29 ,3855.57 ,67,389,1299,513,4278,24872
测评小铺,6,49,600,942,5,1,8.17 ,100.00 ,157.00 ,39,562,888,10,38,54
菊厂搞机,6,3628,895,4887,4,2,604.67 ,149.17 ,814.50 ,3610,865,4749,18,30,138
小多妈Yuki,6,201,964,4320,3,3,33.50 ,160.67 ,720.00 ,42,147,610,159,817,3710
樊建川,6,306,941,3972,3,3,51.00 ,156.83 ,662.00 ,204,503,2703,102,438,1269
创业家传媒,6,586,307,812,4,1,97.67 ,51.17 ,135.33 ,259,103,189,113,114,543
后湾老施,6,336,676,5762,4,2,56.00 ,112.67 ,960.33 ,214,413,4359,122,263,1403
吴小杰WJie,6,246,1742,2063,3,1,41.00 ,290.33 ,343.83 ,169,932,976,20,258,451
后沙月光本尊,6,426,490,3788,1,4,71.00 ,81.67 ,631.33 ,138,112,328,254,312,3015
老c队长,6,335,791,6850,0,5,55.83 ,131.83 ,1141.67 ,0,0,0,302,721,6515
IT大智,6,367,3591,11413,2,4,61.17 ,598.50 ,1902.17 ,117,1194,2508,250,2397,8905
中国经济网,6,557,1754,12703,4,2,92.83 ,292.33 ,2117.17 ,281,495,10342,276,1259,2361
笑到拔胸毛,6,556,1235,12395,4,2,92.67 ,205.83 ,2065.83 ,224,758,6955,332,477,5440
阿某大叔,6,732,1793,3496,4,1,122.00 ,298.83 ,582.67 ,474,1176,2243,125,380,765
木西AlexanDENG,6,3150,4715,11052,3,3,525.00 ,785.83 ,1842.00 ,857,714,3704,2293,4001,7348
掌上镇江,6,16624,18714,247659,6,0,2770.67 ,3119.00 ,41276.50 ,16624,18714,247659,0,0,0
IT互联网资讯,6,5398,5263,9809,6,0,899.67 ,877.17 ,1634.83 ,5398,5263,9809,0,0,0
影视生,6,1853,400,11296,4,1,308.83 ,66.67 ,1882.67 ,1650,217,7477,100,64,1027
媒体人张晓磊,6,1954,2677,34494,6,0,325.67 ,446.17 ,5749.00 ,1954,2677,34494,0,0,0
地瓜熊老六,6,924,767,7460,4,2,154.00 ,127.83 ,1243.33 ,146,419,2690,778,348,4770
行长菌,6,472,2170,14981,4,2,78.67 ,361.67 ,2496.83 ,375,1770,13352,97,400,1629
科技氪,6,118,1510,9030,4,1,19.67 ,251.67 ,1505.00 ,91,953,4489,7,155,364
洛杉矶房东,6,952,1887,11495,3,3,158.67 ,314.50 ,1915.83 ,582,691,5207,370,1196,6288
狂龙十八段,6,105,475,6091,4,1,17.50 ,79.17 ,1015.17 ,84,415,4148,4,59,686
