date,trans0,trans2,comm0,comm2,zan0,zan2,r
2019-12-21,279,32034,1808,25339,8397,61652,0.9190480970434487
2019-12-22,289,38117,2124,23446,9567,69905,0.9164854163181083
2019-12-23,647,199994,2911,246771,30244,1302070,0.981038203515354
2019-12-24,1695,10432,2727,15732,18840,32647,0.7165693955381185
2019-12-25,513,27113,1903,38217,12494,476907,0.9732386605330371
2019-12-26,1411,19235,2108,6616,20536,30962,0.7025399416332789
2019-12-27,840,6969,1143,16224,6991,48064,0.8881479727287458
2019-12-28,515,43704,1596,6914,12283,31198,0.8503897723729342
2019-12-29,2180,10769,5779,9739,30625,25280,0.5426918883041767
2019-12-30,959,19109,884,16872,9368,105712,0.9266794851671637
2019-12-31,441,6217,3534,8387,23653,52657,0.7088387484323789
